scenario,robots,rep,seed,score
i_foraging_s1,30,2,5279,5
i_foraging_s1,30,3,6323,2
i_foraging_s1,30,4,6516,8
i_foraging_s1,30,5,2865,3
i_foraging_s1,30,6,1577,5
i_foraging_s1,30,7,4970,4
i_foraging_s1,30,8,9744,4
i_foraging_s1,30,9,5065,2
i_foraging_s1,30,10,2837,4
i_foraging_s1,32,1,1682,2
i_foraging_s1,32,2,5722,7
i_foraging_s1,32,3,3277,5
i_foraging_s1,32,4,2296,4
i_foraging_s1,32,5,3397,7
i_foraging_s1,32,6,9570,3
i_foraging_s1,32,7,4237,5
i_foraging_s1,32,8,9657,3
i_foraging_s1,32,9,6547,2
i_foraging_s1,32,10,7058,8
i_foraging_s1,34,1,6445,0
i_foraging_s1,34,2,5548,4
i_foraging_s1,34,3,7486,4
i_foraging_s1,34,4,9575,8
i_foraging_s1,34,5,5663,2
i_foraging_s1,34,6,6094,2
i_foraging_s1,34,7,1117,2
i_foraging_s1,34,8,7355,1
i_foraging_s1,34,9,1891,4
i_foraging_s1,34,10,4527,2
i_foraging_s1,36,1,3866,7
i_foraging_s1,36,2,5383,2
i_foraging_s1,36,3,8369,9
i_foraging_s1,36,4,4129,1
i_foraging_s1,36,5,1239,0
i_foraging_s1,36,6,7150,5
i_foraging_s1,36,7,3973,3
i_foraging_s1,36,8,3985,9
i_foraging_s1,36,9,3166,4
i_foraging_s1,36,10,9449,4
i_foraging_s1,38,1,3259,4
i_foraging_s1,38,2,4393,1
i_foraging_s1,38,3,6099,3
i_foraging_s1,38,4,1948,1
i_foraging_s1,38,5,8074,0
i_foraging_s1,38,6,9268,3
i_foraging_s1,38,7,5561,8
i_foraging_s1,38,8,4168,5
i_foraging_s1,38,9,5442,9
i_foraging_s1,38,10,3569,4
i_foraging_s1,40,1,8221,5
i_foraging_s1,40,2,5239,8
i_foraging_s1,40,3,6534,4
i_foraging_s1,40,4,6339,0
i_foraging_s1,40,5,1962,2
i_foraging_s1,40,6,5414,2
i_foraging_s1,40,7,9922,6
i_foraging_s1,40,8,5897,5
i_foraging_s1,40,9,4408,3
i_foraging_s1,40,10,3489,7
i_foraging_s1,42,1,8205,4
i_foraging_s1,42,2,8203,1
i_foraging_s1,42,3,8806,3
i_foraging_s1,42,4,7149,5
i_foraging_s1,42,5,2457,0
i_foraging_s1,42,6,7172,5
i_foraging_s1,42,7,1755,3
i_foraging_s1,42,8,2464,10
i_foraging_s1,42,9,3397,3
